Role        usernames-          : passwords-
Admin       emily_johnson       : success-password
Manager     michael_williams    : success-password
Manager     john_smith          : success-password
Moderator   emma_davis          : success-password
Moderator   william_brown       : success-password
Moderator   sophia_lee          : success-password
Support     james_anderson      : success-password
Support     olivia_martin       : success-password
Support     robert_johnson      : success-password
Support     sophie_davis        : success-password
Support     alexander_petrov    : success-password
User        maria_ivanova       : success-password
User        raj_patel           : success-password
User        priya_sharma        : success-password
User        sebastian_schmidt   : success-password
User        isabella_rossi      : success-password
User        liam_oconnor        : success-password
User        emilia_nowak        : success-password
User        miguel_fernandez    : success-password
User        ava_muller          : success-password
